app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,opts,extensions,log
aes_gcm,hw_s3f,rtlsim,1,4,4,64,4,256,4096,163028,56427,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,70609,25151,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,71905,25151,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,70609,25151,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,71905,25151,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,70609,25151,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,71905,25151,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,70609,25151,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s3g,rtlsim,1,4,4,64,4,256,4096,71905,25151,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,8,1024,16384,73513,16002,-n128 -b8 -i8,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/rt_8_8.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,8,1024,16384,36221,16018,-n128 -b8 -i8,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/sk_8_8.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,64,8192,131072,144612,96658,-n128 -b64 -i8,AUTH AUTH_SG4 SYM SYM_SG4 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/nos2.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,64,8192,131072,175624,96642,-n128 -b64 -i8,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/rt_8_64.log
aes_gcm,hw_s3g,rtlsim,2,4,16,128,64,8192,131072,144350,96658,-n128 -b64 -i8,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/sk_8_64.log
aes_gcm,hw_s3g,simx,2,4,16,128,8,1024,16384,74153,16002,-n128 -b8 -i8,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_8_8.log
aes_gcm,hw_s3g,simx,2,4,16,128,64,8192,131072,172476,96642,-n128 -b64 -i8,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_8_64.log
aes_gcm,hw_sg4,rtlsim,1,4,4,64,4,256,4096,145307,51555,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_sg4,rtlsim,1,4,4,64,4,256,4096,145307,51555,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_sg4,rtlsim,1,4,4,64,4,256,4096,145307,51555,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_sg4,rtlsim,1,4,4,64,4,256,4096,145307,51555,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,sw_ttable,rtlsim,1,4,4,64,4,256,4096,924113,383936,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
